,date,event_name,digital_button,photoresistor,temperature,humidity
243,November 19 2019 at 01:06AM,esp8266_readings,1,570,18.80,52.00
244,November 19 2019 at 01:07AM,esp8266_readings,1,569,18.80,51.00
245,November 19 2019 at 01:08AM,esp8266_readings,1,570,18.90,51.00
246,November 19 2019 at 01:09AM,esp8266_readings,1,570,18.90,51.00
247,November 19 2019 at 01:10AM,esp8266_readings,1,570,18.90,51.00
248,November 19 2019 at 01:11AM,esp8266_readings,1,570,18.90,51.00
249,November 19 2019 at 01:12AM,esp8266_readings,1,572,18.90,51.00
250,November 19 2019 at 01:13AM,esp8266_readings,1,572,18.90,51.00
251,November 19 2019 at 01:14AM,esp8266_readings,1,572,18.90,51.00
252,November 19 2019 at 01:15AM,esp8266_readings,1,576,18.90,51.00
253,November 19 2019 at 01:16AM,esp8266_readings,1,570,18.90,51.00
254,November 19 2019 at 01:17AM,esp8266_readings,1,572,18.90,51.00
255,November 19 2019 at 01:18AM,esp8266_readings,1,572,18.90,51.00
256,November 19 2019 at 01:19AM,esp8266_readings,1,572,18.90,51.00
257,November 19 2019 at 01:20AM,esp8266_readings,1,572,18.90,51.00
258,November 19 2019 at 01:21AM,esp8266_readings,1,572,18.90,51.00
259,November 19 2019 at 01:22AM,esp8266_readings,1,570,18.90,51.00
260,November 19 2019 at 01:23AM,esp8266_readings,1,571,18.90,51.00
261,November 19 2019 at 01:24AM,esp8266_readings,1,570,18.90,51.00
262,November 19 2019 at 01:25AM,esp8266_readings,1,570,18.90,50.00
263,November 19 2019 at 01:26AM,esp8266_readings,1,570,18.90,51.00
264,November 19 2019 at 01:27AM,esp8266_readings,1,570,19.00,51.00
265,November 19 2019 at 01:28AM,esp8266_readings,1,571,19.00,51.00
266,November 19 2019 at 01:29AM,esp8266_readings,1,569,19.00,51.00
267,November 19 2019 at 01:30AM,esp8266_readings,1,572,19.00,51.00
268,November 19 2019 at 01:31AM,esp8266_readings,1,572,19.00,51.00
269,November 19 2019 at 01:32AM,esp8266_readings,1,572,19.00,51.00
270,November 19 2019 at 01:33AM,esp8266_readings,1,573,19.00,50.00
271,November 19 2019 at 01:34AM,esp8266_readings,1,573,19.00,50.00
272,November 19 2019 at 01:35AM,esp8266_readings,1,573,19.00,50.00
273,November 19 2019 at 01:36AM,esp8266_readings,1,572,19.00,50.00
274,November 19 2019 at 01:37AM,esp8266_readings,1,572,19.00,50.00
275,November 19 2019 at 01:38AM,esp8266_readings,1,572,19.00,50.00
276,November 19 2019 at 01:39AM,esp8266_readings,1,570,19.00,50.00
277,November 19 2019 at 01:40AM,esp8266_readings,1,572,19.00,50.00
278,November 19 2019 at 01:41AM,esp8266_readings,1,572,19.00,50.00
279,November 19 2019 at 01:42AM,esp8266_readings,1,571,19.00,50.00
280,November 19 2019 at 01:43AM,esp8266_readings,1,572,19.00,50.00
281,November 19 2019 at 01:44AM,esp8266_readings,1,572,19.10,50.00
282,November 19 2019 at 01:45AM,esp8266_readings,1,572,19.10,50.00
283,November 19 2019 at 01:46AM,esp8266_readings,1,571,19.10,50.00
284,November 19 2019 at 01:47AM,esp8266_readings,1,572,19.10,50.00
285,November 19 2019 at 01:48AM,esp8266_readings,1,572,19.10,50.00
286,November 19 2019 at 01:49AM,esp8266_readings,1,570,19.10,50.00
287,November 19 2019 at 01:50AM,esp8266_readings,1,572,19.10,50.00
288,November 19 2019 at 01:51AM,esp8266_readings,1,571,19.10,50.00
289,November 19 2019 at 01:52AM,esp8266_readings,1,573,19.10,50.00
290,November 19 2019 at 01:53AM,esp8266_readings,1,572,19.10,50.00
291,November 19 2019 at 01:54AM,esp8266_readings,1,572,19.10,50.00
292,November 19 2019 at 01:55AM,esp8266_readings,1,572,19.10,50.00
293,November 19 2019 at 01:56AM,esp8266_readings,1,572,19.10,50.00
294,November 19 2019 at 01:57AM,esp8266_readings,1,573,19.10,50.00
295,November 19 2019 at 01:58AM,esp8266_readings,1,573,19.10,50.00
296,November 19 2019 at 01:59AM,esp8266_readings,1,572,19.10,50.00
297,November 19 2019 at 02:00AM,esp8266_readings,1,572,19.10,50.00
298,November 19 2019 at 02:01AM,esp8266_readings,1,571,19.10,50.00
299,November 19 2019 at 02:02AM,esp8266_readings,1,571,19.20,50.00
300,November 19 2019 at 02:03AM,esp8266_readings,1,590,19.20,50.00
301,November 19 2019 at 02:04AM,esp8266_readings,1,917,19.20,50.00
302,November 19 2019 at 02:05AM,esp8266_readings,1,838,19.30,50.00
303,November 19 2019 at 02:06AM,esp8266_readings,1,814,19.30,50.00
304,November 19 2019 at 02:07AM,esp8266_readings,0,842,19.40,50.00
305,November 19 2019 at 02:08AM,esp8266_readings,0,836,19.30,50.00
306,November 19 2019 at 02:09AM,esp8266_readings,0,847,19.40,50.00
307,November 19 2019 at 02:10AM,esp8266_readings,0,847,19.40,50.00
308,November 19 2019 at 02:11AM,esp8266_readings,0,846,19.40,50.00
309,November 19 2019 at 02:12AM,esp8266_readings,0,842,19.40,50.00
310,November 19 2019 at 02:13AM,esp8266_readings,1,1024,19.40,50.00
311,November 19 2019 at 02:14AM,esp8266_readings,1,1024,19.40,50.00
312,November 19 2019 at 02:15AM,esp8266_readings,1,1024,19.30,49.00
313,November 19 2019 at 02:16AM,esp8266_readings,1,1024,19.30,49.00
314,November 19 2019 at 02:17AM,esp8266_readings,1,1024,19.30,48.00
315,November 19 2019 at 02:18AM,esp8266_readings,1,1024,19.30,49.00
316,November 19 2019 at 02:19AM,esp8266_readings,1,1024,19.30,48.00
317,November 19 2019 at 02:20AM,esp8266_readings,1,1024,19.20,49.00
318,November 19 2019 at 02:21AM,esp8266_readings,1,1024,19.20,49.00
319,November 19 2019 at 02:22AM,esp8266_readings,1,1024,19.20,49.00
320,November 19 2019 at 02:23AM,esp8266_readings,1,1024,19.20,49.00
321,November 19 2019 at 02:24AM,esp8266_readings,1,1024,19.20,48.00
322,November 19 2019 at 02:25AM,esp8266_readings,1,1024,19.10,49.00
323,November 19 2019 at 02:26AM,esp8266_readings,1,1024,19.10,49.00
